transaction_date,description,withdrawal_amount,deposit_amount,balance,flag_type
2019-01-05,ACH/COAL INDIA LTD/ Cr,,5.0,145731.39,entity_transactions
2019-03-29,"ACH/COAL INDIA LTD/ 1,20,2.43 Cr",,29.0,120203.43,entity_transactions
